"LOC","STA","STATION","C","BAND","SPN","NUMB","SPEC","AGE","HA","WRP","SEX","HS","SK","CP","BP","F","BM","FM","FW","JP","WNG","WEIGHT","STATUS","DATE","TIME","NET","ANET","DISP","PPC","SSC","PPF","SSF","TT","RR","HD","UPP","UNP","BPL","NF","FP","N","B","A","BRSTAT","IP","SP","year"
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","G",,"M","P",,"0","0","0","0","N","1",,41,4,"000",2017-06-07,"061","08","08",,,,,,,,,,,,,"-","H","*","*","B","04","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","5","I",,"M","P",,"0","0","0","0","N","1",,44,4,"000",2017-06-07,"064","08","08",,,,,,,,,,,,,"-","H","*","*","B","04","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","2","I",,"M","PI",,"0","0","0","0","N","1",,42,3,"000",2017-06-07,"084","09","09",,,,,,,,,,,,,"-","H","*","*","B","04","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"F","PI",,"0","1","0","0","N","0",,42,3,"000",2017-06-27,"064","10","10",,,,,,,,,,,,,"-","H","*","*","B","06","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"M","PI",,"0","0","0","0","N","1",,43,3,"000",2017-06-27,"074","07","07",,,,,,,,,,,,,"-","H","*","*","B","06","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"M","PI",,"0","0","0","0","N","0",,0,0,"000",2017-06-27,"074","07","07",,,,,,,,,,,,,"-","H","*","*","B","06","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"F","P",,"0","0","0","0","N","0",,46,3,"000",2017-06-27,"074","07","07",,,,,,,,,,,,,"-","H","*","*","B","06","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"F","P",,,,,,,,,0,0,"000",2017-07-07,"063","07","07",,,,,,,,,,,,,"-","H","*","*","B","07","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"F","P",,,,,,,,,0,0,"000",2017-07-07,"063","10","10",,,,,,,,,,,,,"-","H","*","*","B","07","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","2","I",,"U",,,,,,,,,,0,0,"000",2017-07-07,"063","10","10",,,,,,,,,,,,,"-","H","*","*","B","07","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"F","P",,,,,,,,,0,0,"000",2017-07-07,"073","09","09",,,,,,,,,,,,,"-","H","*","*","B","07","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"M","P",,,,,,,,,0,0,"000",2017-07-07,"083","07","07",,,,,,,,,,,,,"-","H","*","*","B","07","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"F","P",,,,,,,,,0,0,"000",2017-07-07,"083","09","09",,,,,,,,,,,,,"-","H","*","*","B","07","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","I",,"F","P",,,,,,,,,0,0,"000",2017-07-07,"110","10","10",,,,,,,,,,,,,"-","H","*","*","B","07","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","0",,,"M","P",,,,,,,,,0,0,"000",2017-07-13,"110","07","07",,,,,,,,,,,,,"-","H","*","*","B","08","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","0",,,"F","P",,,,,,,,,0,0,"000",2017-07-13,"110","07","07",,,,,,,,,,,,,"-","H","*","*","B","08","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","2","P",,"F","P",,"0","0","0","0","N","1",,45,3,"000",2017-08-03,"092","09","09",,,,,,,,,,,,,"-","H","*","*","B","10","A",2017
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","G",,"F","P",,"0","0","0","0","N","1","0",44,3,"000",2018-06-06,"070","10","10",,"B","B","B","B","B","B",,,,"B","B","-","H","*","*","B","04","A",2018
"MORA",11273,"SSPT","U",,36900,"08730","RUHU","1","G",,"F","P",,"0","0","0","0","N","1","0",44,3,"000",2018-06-06,"083","10","10",,"B","B","B","B","B","B",,,,"B","B","-","H","*","*","B","04","A",2018
