"LOC","STA","STATION","DATE","IP","SP","NET","ANET","LENGTH","START","END","MAN","MA","MB","N","E","YEAR","SHIFT","DELAY"
"MORA",11273,"SSPT",2017-06-07,4,"A","01","01",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-07,4,"A","02","02",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-07,4,"A","03","03",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-07,4,"A","04","04",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-07,4,"A","05","05",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-07,4,"A","06","06",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-07,4,"A","07","07",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-07,4,"A","08","08",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-07,4,"A","09","09",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-07,4,"A","10","10",1,"051","104",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","01","01",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","02","02",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","03","03",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","04","04",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","05","05",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","06","06",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","07","07",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","08","08",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","09","09",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-13,5,"A","10","10",1,"045","065",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-27,6,"A","01","01",1,"051","084",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-27,6,"A","02","02",1,"051","084",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-27,6,"A","03","03",1,"051","084",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-27,6,"A","04","04",1,"051","084",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-27,6,"A","05","05",1,"051","084",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-27,6,"A","06","06",1,"051","084",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-27,6,"A","07","07",1,"051","084",,,,,,2017,"0","0"
"MORA",11273,"SSPT",2017-06-27,6,"A","08","08",1,"051","084",,,,,,2017,"0","0"
