"LOC","STA","STA2","STATION","SPN","NUMB","SPEC","YR","PS1","SB1","PS2","SB2","PS3","SB3","PS4","SB4","PS5","SB5","PS6","SB6","PS7","SB7","PS8","SB8","PS9","SB9","PS10","SB10","PS11","SB11","PS12","SB12","YS","B"
"MORA",11273,"11273U","SSPT",14300,"02940","RUGR",2017,"-",,"-",,"-",,"-",,"-",,"O","E","O","E","O","E","-",,"-",,"-",,"-",,"L","R"
"MORA",11273,"11273U","SSPT",25600,"07080","CONI",2017,"-",,"-",,"-",,"-",,"P","S","C","N","C","N","C","N","O","E","O","E","-",,"-",,"B","X"
"MORA",11273,"11273U","SSPT",28906,"07410","VASW",2017,"-",,"-",,"-",,"O","E","-",,"O","E","-",,"-",,"-",,"-",,"-",,"-",,"T","R"
"MORA",11273,"11273U","SSPT",36900,"08730","RUHU",2017,"-",,"-",,"-",,"O","B","O","E","P","T","P","S","O","Z","O","E","O","B","-",,"-",,"B","X"
"MORA",11273,"11273U","SSPT",91000,"06950","BADO",2017,"-",,"-",,"-",,"O","E","-",,"O","E","-",,"-",,"-",,"-",,"-",,"-",,"L","R"
"MORA",11273,"11273U","SSPT",100800,"09600","RBSA",2017,"-",,"-",,"-",,"O","B","O","B","O","E","O","E","O","E","O","E","-",,"-",,"-",,"B","X"
"MORA",11273,"11273U","SSPT",101400,"09650","DOWO",2017,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"O","Z","O","E","O","E","-",,"-",,"L","X"
"MORA",11273,"11273U","SSPT",101800,"09660","HAWO",2017,"-",,"-",,"-",,"-",,"-",,"O","E","O","Z","O","Z","O","E","-",,"-",,"-",,"B","X"
"MORA",11273,"11273U","SSPT",103300,"09800","RSFL",2017,"-",,"-",,"-",,"O","E","O","E","-",,"-",,"O","E","O","E","-",,"-",,"-",,"B","R"
"MORA",11273,"11273U","SSPT",103900,"09860","PIWO",2017,"-",,"-",,"-",,"O","E","-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"T","R"
"MORA",11273,"11273U","SSPT",135500,"11380","WEWP",2017,"-",,"-",,"-",,"O","E","-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"T","R"
"MORA",11273,"11273U","SSPT",136500,"11475","TRFL",2017,"-",,"-",,"-",,"O","B","-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"T","R"
"MORA",11273,"11273U","SSPT",136600,"11475","WIFL",2017,"-",,"-",,"-",,"O","B","-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"T","R"
"MORA",11273,"11273U","SSPT",137000,"11510","HAFL",2017,"-",,"-",,"-",,"O","E","-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"T","R"
