"LOC","STA","STATION","YEAR","IP","SP","IP_NETHRS","YR_NETHRS"
"MTBA",11139,"FRLA",1998,4,"A",58.6666666666667,392
"MTBA",11139,"FRLA",1998,5,"A",33.3333333333333,392
"MTBA",11139,"FRLA",1998,6,"A",60,392
"MTBA",11139,"FRLA",1998,7,"A",60,392
"MTBA",11139,"FRLA",1998,8,"A",60,392
"MTBA",11139,"FRLA",1998,9,"A",60,392
"MTBA",11139,"FRLA",1998,10,"A",60,392
"MTBA",11139,"FRLA",1999,4,"A",60,365
"MTBA",11139,"FRLA",1999,5,"A",60,365
"MTBA",11139,"FRLA",1999,6,"A",32.6666666666667,365
"MTBA",11139,"FRLA",1999,7,"A",60,365
"MTBA",11139,"FRLA",1999,8,"A",60,365
"MTBA",11139,"FRLA",1999,9,"A",32.3333333333333,365
"MTBA",11139,"FRLA",1999,10,"A",60,365
"MTBA",11139,"FRLA",2000,4,"A",59.3333333333333,404.166666666667
"MTBA",11139,"FRLA",2000,5,"A",50.8333333333333,404.166666666667
"MTBA",11139,"FRLA",2000,6,"A",60,404.166666666667
"MTBA",11139,"FRLA",2000,7,"A",60,404.166666666667
"MTBA",11139,"FRLA",2000,8,"A",60,404.166666666667
"MTBA",11139,"FRLA",2000,9,"A",54,404.166666666667
"MTBA",11139,"FRLA",2000,10,"A",60,404.166666666667
"MTBA",11139,"FRLA",2001,4,"A",32,335.333333333333
"MTBA",11139,"FRLA",2001,5,"A",60,335.333333333333
"MTBA",11139,"FRLA",2001,6,"A",60,335.333333333333
"MTBA",11139,"FRLA",2001,7,"A",60,335.333333333333
"MTBA",11139,"FRLA",2001,8,"A",60,335.333333333333
"MTBA",11139,"FRLA",2001,9,"A",30,335.333333333333
"MTBA",11139,"FRLA",2001,10,"A",33.3333333333333,335.333333333333
"MTBA",11139,"FRLA",2002,4,"A",60,380
"MTBA",11139,"FRLA",2002,5,"A",60,380
"MTBA",11139,"FRLA",2002,6,"A",60,380
"MTBA",11139,"FRLA",2002,7,"A",46.6666666666667,380
"MTBA",11139,"FRLA",2002,8,"A",60,380
"MTBA",11139,"FRLA",2002,9,"A",60,380
"MTBA",11139,"FRLA",2002,10,"A",33.3333333333333,380
"MTBA",11139,"FRLA",2003,4,"A",60,390
"MTBA",11139,"FRLA",2003,5,"A",60,390
"MTBA",11139,"FRLA",2003,6,"A",30,390
"MTBA",11139,"FRLA",2003,7,"A",60,390
"MTBA",11139,"FRLA",2003,8,"A",60,390
"MTBA",11139,"FRLA",2003,9,"A",60,390
"MTBA",11139,"FRLA",2003,10,"A",60,390
"MTBA",11139,"FRLA",2004,4,"A",60,400
"MTBA",11139,"FRLA",2004,5,"A",60,400
"MTBA",11139,"FRLA",2004,6,"A",40,400
"MTBA",11139,"FRLA",2004,7,"A",60,400
"MTBA",11139,"FRLA",2004,8,"A",60,400
"MTBA",11139,"FRLA",2004,9,"A",60,400
"MTBA",11139,"FRLA",2004,10,"A",60,400
"MTBA",11139,"FRLA",2005,4,"A",34.6666666666667,364.666666666667
"MTBA",11139,"FRLA",2005,5,"A",30,364.666666666667
"MTBA",11139,"FRLA",2005,6,"A",60,364.666666666667
"MTBA",11139,"FRLA",2005,7,"A",60,364.666666666667
"MTBA",11139,"FRLA",2005,8,"A",60,364.666666666667
"MTBA",11139,"FRLA",2005,9,"A",60,364.666666666667
"MTBA",11139,"FRLA",2005,10,"A",60,364.666666666667
"MTBA",11139,"FRLA",2006,4,"A",59.3333333333333,379.333333333333
"MTBA",11139,"FRLA",2006,5,"A",52,379.333333333333
"MTBA",11139,"FRLA",2006,6,"A",54.6666666666667,379.333333333333
"MTBA",11139,"FRLA",2006,7,"A",60,379.333333333333
"MTBA",11139,"FRLA",2006,8,"A",33.3333333333333,379.333333333333
"MTBA",11139,"FRLA",2006,9,"A",60,379.333333333333
"MTBA",11139,"FRLA",2006,10,"A",60,379.333333333333
"MTBA",11139,"FRLA",2007,4,"A",50,362
"MTBA",11139,"FRLA",2007,5,"A",45.3333333333333,362
