"STASLIST","LOC","STA","STA2","STATION","NAME","LHOLD","HOLDCERT","NEARTOWN","COUNTY","STATE","REGION","LATITUDE","LONGITUDE","PRECISION","SOURCE","DATUM","DECLAT","DECLNG","NAD83","ELEV","STRATUM","BCR","HABITAT","D89","D90","D91","D92","D93","D94","D95","D96","D97","D98","D99","D00","D01","D02","D03","D04","D05","D06","Y07","D07","Y08","D08","Y09","D09","Y10","D10","Y11","D11","Y12","D12","Y13","D13","Y14","D14","Y15","D15","Y16","D16","Y17","D17","Y18","D18","HISTORY","YRSOP"
"11139 - MTBA - FRLA - Frog Lake","MTBA",11139,"11139U","FRLA","Frog Lake","AF","+","Darrington","Snohomish","WA","1","48 12 28","-121 34 33","01S","GPS -SPORTTRAK","NAD83",48.20778,-121.57583,"x",317,67,9,"dry mixed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11140 - MTBA - MUCR - Murphy Creek","MTBA",11140,"11140U","MUCR","Murphy Creek","AF","+","Darrington","Snohomish","WA","1","48 11 25","-121 31 08","01S","-","-",48.19028,-121.51889,"-",244,67,9,"disturbed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"92-04",13
"11141 - MTBA - BELA - Beaver Lake","MTBA",11141,"11141S","BELA","Beaver Lake","AF","+","Silverton","Snohomish","WA","1","48 09 43","-121 26 55","01S","GPS -SPORTTRAK","NAD83",48.16194,-121.44861,"x",299,67,9,"mixed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11143 - MTBA - PECR - Perry Creek","MTBA",11143,"11143U","PECR","Perry Creek","AF","+","Silverton","Snohomish","WA","1","48 03 44","-121 30 50","01S","GPS -SPORTTRAK","NAD83",48.06222,-121.51389,"x",512,67,9,"coniferous rainforest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11144 - MTBA - MCLA - Monte Cristo Lake","MTBA",11144,"11144U","MCLA","Monte Cristo Lake","AF","+","Silverton","Snohomish","WA","1","48 03 03","-121 25 57","01S","GPS -SPORTTRAK","NAD83",48.05083,-121.4325,"x",610,67,9,"wet meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"92-10",19
"11145 - WENA - TIME - Timothy Meadow","WENA",11145,"11145U","TIME","Timothy Meadow","AF","+","Easton","Yakima","WA","1","47 04 51","-121 15 33","01S","GPS -SPORTTRAK","NAD83",47.08083,-121.25917,"x",951,67,9,"marsh",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11147 - WENA - TWPO - Two Point","WENA",11147,"11147U","TWPO","Two Point","AF","+","Cliffdell","Kittitas","WA","1","46 57 44","-120 55 38","01S","GPS -SPORTTRAK","NAD83",46.96222,-120.92722,"x",1512,85,9,"montane meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11148 - WENA - PLVA - Pleasant Valley","WENA",11148,"11148U","PLVA","Pleasant Valley","AF","+","Goose Prairie","Yakima","WA","1","46 56 47","-121 18 45","01S","GPS -SPORTTRAK","NAD83",46.94639,-121.3125,"x",1000,67,9,"open meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11149 - WENA - RASP - Rattlesnake Spring","WENA",11149,"11149U","RASP","Rattlesnake Spring","AF","+","Cliffdell","Yakima","WA","1","46 48 12","-121 03 07","01S","GPS -SPORTTRAK","NAD83",46.80333,-121.05194,"x",817,85,9,"riparian grove",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11150 - WENA - DECR - Deep Creek","WENA",11150,"11150U","DECR","Deep Creek","AF","+","Goose Prairie","Yakima","WA","1","46 46 48","-121 20 23","01S","Paper map","NAD27",46.78,-121.33972,"-",1195,67,5,"fir/spruce bog",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"92-04",13
"11177 - DOUG - DOUG - Douglas Creek","DOUG",11177,"11177U","DOUG","Douglas Creek","IB","+","East Wenatchee","Douglas","WA","1","47 29 18","-119 54 00","01S","-","-",47.48833,-119.9,"-",463,89,9,"desert riparian",,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,"93-14",22
"11206 - NISQ - DIKE - Dike","NISQ",11206,"11206U","DIKE","Dike","IW","+","McKenna","Thurston","WA","1","47 05 58","-122 42 25","01S","-","-",47.09944,-122.70694,"-",5,93,5,"decid. shrub corridor betw. wetl.",,,,,,,,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",1
"11207 - NISQ - REST - Restoration","NISQ",11207,"11207S","REST","Restoration","IW","+","McKenna","Thurston","WA","1","47 04 40","-122 42 30","01S","-","-",47.07778,-122.70833,"-",10,93,5,"oldfield",,,,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00-02",3
"11208 - NISQ - RIVR - Riverine","NISQ",11208,"11207S","RIVR","Riverine","IW","+","McKenna","Thurston","WA","1","47 05 00","-122 42 36","01S","-","-",47.08333,-122.71,"-",9,93,5,"big-leaf maple-cottonwd rip. for.",,,,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00-02",3
"11209 - NISQ - SURG - Surge Plain","NISQ",11209,"11207S","SURG","Surge Plain","IW","+","McKenna","Thurston","WA","1","47 04 29","-122 42 47","01S","-","-",47.07472,-122.71306,"-",10,93,5,"decid. rip. surge plain-tide infl",,,,,,,,,,,,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00-02",3
"11215 - WALL - WALL - Wallula - McNary NWR","WALL",11215,"11215U","WALL","Wallula - McNary NWR","IW","+","Wallula","Walla Walla","WA","1","46 03 26","-118 53 16","01S","hard - topo map","NAD27",46.05722,-118.88889,"x",106,89,9,"cottonwood-willow riparian corrid",,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,"01-12",12
"11238 - DOUG - MCCA - McCarteney Creek","DOUG",11238,"11238U","MCCA","McCarteney Creek","P","+","Ephrata","Douglas","WA","1","47 30 27","-119 44 40","01S","Web - Google E.","NAD83",47.5075,-119.74444,"x",503,89,9,"water birch & quaking aspen ripar. woodl",,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,"02-12",11
"11248 - BAIS - PSEL - Islandwood","BAIS",11248,"11248U","PSEL","Islandwood","P","+","Winslow","Kitsap","WA","1","47 36 25","-122 31 48","01S","-","-",47.60694,-122.53,"-",74,93,5,"mature mixed coniferous deciduous forest",,,,,,,,,,,,,,"X",,"X",,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"02,04,06-08",5
"11264 - WENA - LIRA - Little Rattlesnake","WENA",11264,"11264U","LIRA","Little Rattlesnake","AF","+","Rimrock","Yakima","WA","1","46 44 40","-121 05 21","01S","GPS -SPORTTRAK","NAD83",46.74444,-121.08917,"x",1280,85,9,"montane meadow",,,,,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"05-11",7
